FF times,LED times
"(5.455623403922387, 0.0)","(5.455623403922387, 1.0)"
"(5.472307267542945, 0.0)","(5.472307267542945, 1.0)"
"(5.488991131163503, 0.0)","(5.488991131163503, 1.0)"
"(5.50567499478406, 0.0)","(5.50567499478406, 1.0)"
"(5.522358858404618, 0.0)","(5.522358858404618, 1.0)"
"(5.539042722025176, 0.0)","(5.539042722025176, 1.0)"
"(5.555726585645734, 0.0)","(5.555726585645734, 1.0)"
"(5.572410449266291, 0.0)","(5.572410449266291, 1.0)"
"(5.589094312886849, 0.0)","(5.589094312886849, 1.0)"
"(5.605778176507407, 0.0)","(5.605778176507407, 1.0)"
"(5.622462040127965, 0.0)","(5.622462040127965, 1.0)"
"(5.639145903748522, 0.0)","(5.639145903748522, 1.0)"
"(5.65582976736908, 0.0)","(5.65582976736908, 1.0)"
"(5.672513630989638, 0.0)","(5.672513630989638, 1.0)"
"(5.689197494610196, 0.0)","(5.689197494610196, 1.0)"
"(5.705881358230753, 0.0)","(5.705881358230753, 1.0)"
"(5.722565221851311, 0.0)","(5.722565221851311, 1.0)"
"(5.739249085471869, 0.0)","(5.739249085471869, 1.0)"
"(5.7559329490924265, 0.0)","(5.7559329490924265, 1.0)"
"(5.772616812712984, 0.0)","(5.772616812712984, 1.0)"
"(5.789300676333542, 0.0)","(5.789300676333542, 1.0)"
"(5.8059845399541, 0.0)","(5.8059845399541, 1.0)"
"(5.822668403574657, 0.0)","(5.822668403574657, 1.0)"
"(5.839352267195215, 0.0)","(5.839352267195215, 1.0)"
"(5.856036130815773, 0.0)","(5.856036130815773, 1.0)"
"(5.872719994436331, 0.0)","(5.872719994436331, 1.0)"
"(5.889403858056888, 0.0)","(5.889403858056888, 1.0)"
"(5.906087721677446, 0.0)","(5.906087721677446, 1.0)"
"(5.922771585298004, 0.0)","(5.922771585298004, 1.0)"
"(5.939455448918562, 0.0)","(5.939455448918562, 1.0)"
"(5.956139312539119, 0.0)","(5.956139312539119, 1.0)"
"(5.972823176159677, 0.0)","(5.972823176159677, 1.0)"
"(5.989507039780236, 0.0)","(5.989507039780236, 1.0)"
"(6.006190903400793, 0.0)","(6.006190903400793, 1.0)"
"(6.022874767021351, 0.0)","(6.022874767021351, 1.0)"
"(6.039558630641909, 0.0)","(6.039558630641909, 1.0)"
"(6.056242494262467, 0.0)","(6.056242494262467, 1.0)"
"(6.072926357883024, 0.0)","(6.072926357883024, 1.0)"
"(6.089610221503582, 0.0)","(6.089610221503582, 1.0)"
"(6.10629408512414, 1.0)","(6.10629408512414, 1.0)"
"(6.122977948744698, 0.0)","(6.122977948744698, 1.0)"
"(6.139661812365255, 0.0)","(6.139661812365255, 1.0)"
"(6.156345675985813, 0.0)","(6.156345675985813, 1.0)"
"(6.173029539606371, 0.0)","(6.173029539606371, 1.0)"
"(6.1897134032269285, 0.0)","(6.1897134032269285, 1.0)"
"(6.206397266847486, 0.0)","(6.206397266847486, 1.0)"
"(6.223081130468044, 0.0)","(6.223081130468044, 1.0)"
"(6.239764994088602, 0.0)","(6.239764994088602, 1.0)"
"(6.25644885770916, 0.0)","(6.25644885770916, 1.0)"
"(6.273132721329717, 0.0)","(6.273132721329717, 1.0)"
"(6.289816584950275, 0.0)","(6.289816584950275, 1.0)"
"(6.306500448570833, 0.0)","(6.306500448570833, 1.0)"
"(6.32318431219139, 0.0)","(6.32318431219139, 1.0)"
"(6.339868175811948, 0.0)","(6.339868175811948, 1.0)"
"(6.356552039432506, 0.0)","(6.356552039432506, 1.0)"
"(6.373235903053064, 0.0)","(6.373235903053064, 1.0)"
"(6.389919766673621, 0.0)","(6.389919766673621, 1.0)"
"(6.406603630294179, 0.0)","(6.406603630294179, 1.0)"
"(6.423287493914737, 0.0)","(6.423287493914737, 1.0)"
"(6.439971357535295, 0.0)","(6.439971357535295, 1.0)"
"(6.456655221155852, 0.0)","(6.456655221155852, 1.0)"
"(6.47333908477641, 0.0)","(6.47333908477641, 1.0)"
"(6.490022948396968, 0.0)","(6.490022948396968, 1.0)"
"(6.5067068120175255, 1.0)","(6.5067068120175255, 1.0)"
"(6.523390675638083, 0.0)","(6.523390675638083, 1.0)"
"(6.540074539258641, 0.0)","(6.540074539258641, 1.0)"
"(6.556758402879199, 0.0)","(6.556758402879199, 1.0)"
"(6.5734422664997565, 0.0)","(6.5734422664997565, 1.0)"
"(6.590126130120314, 0.0)","(6.590126130120314, 1.0)"
"(6.606809993740872, 0.0)","(6.606809993740872, 1.0)"
"(6.62349385736143, 0.0)","(6.62349385736143, 1.0)"
